realPGA,Predicted PGA
35.91,34.56296921
8.6184,16.82128525
7.182,16.04776382
7.9002,14.79570103
30.404,31.90322495
55.541,13.69016743
23.222,25.83076096
9.8154,16.5240593
14.364,13.26585007
11.491,14.70646477
21.307,21.41902924
26.095,17.31557465
6.9426,16.26539803
6.4638,14.12486458
8.8578,14.24403095
28.967,17.45254135
9.3366,18.57218933
9.3366,13.84753323
9.576,16.44303131
40.219,59.35909653
6.9426,23.32095337
10.534,18.85214233
7.9002,19.89519882
8.8578,18.24772835
19.631,33.83880997
8.1396,15.45870781
10.294,11.78839302
11.97,14.1611948
16.519,14.10833645
6.7032,15.17788029
7.182,12.40952778
7.182,13.7173872
11.012,13.72486401
31.84,14.85800171
7.182,14.72385693
8.379,15.39816666
58.414,18.06820488
5.985,13.42266846
17.955,17.83006287
7.4214,13.56137466
16.997,27.34525299
7.6608,17.7530632
10.055,13.2353487
17.716,24.99285316
16.279,13.55949402
9.8154,16.05532265
11.012,22.29977989
18.194,22.4143486
24.419,35.06068039
8.6184,12.87359619
9.8154,18.19265747
13.406,13.1236639
21.067,29.14214134
78.044,29.40756607
11.97,16.99695396
21.307,14.04896355
10.773,14.27503395
8.6184,18.82294083
11.97,20.29622269
36.628,37.53699493
9.0972,12.91853809
11.012,16.27186012
80.917,18.27686691
10.534,13.65404415
7.6608,13.18610096
16.519,17.367033
7.4214,14.95173454
20.828,13.51933956
8.379,11.70950413
10.534,17.66355515
7.4214,20.8885498
21.546,25.27736282
6.9426,15.01264858
7.9002,13.08045006
15.8,14.0590744
12.928,33.149086
7.182,13.84616089
8.8578,14.85598373
46.204,29.94100189
7.4214,14.46727657
14.603,14.75129223
6.9426,16.86706161
10.773,13.13546181
7.9002,14.93276596
9.3366,13.60549545
10.534,15.29364395
7.9002,16.84945488
8.379,20.16290283
10.055,12.48308754
227.91,27.90655899
8.6184,11.86139297
25.376,18.72135162
7.4214,12.94790363
6.9426,16.50406265
22.743,12.30021572
10.773,20.07296753
11.252,16.94495392
12.449,17.73499298
16.04,13.61550236
7.182,12.22557259
8.6184,18.54297638
7.4214,17.78520775
9.0972,16.83334351
42.613,18.22567749
19.631,15.35200405
10.294,12.3499136
15.322,23.54563141
17.237,17.37705421
7.9002,16.24201965
7.6608,14.85370445
10.534,13.67840576
8.8578,14.04812527
7.182,16.95740509
28.728,16.43884468
7.4214,14.5449295
7.9002,14.46480465
15.322,17.41657448
7.182,14.18507481
10.055,15.02650356
9.3366,14.83177757
7.9002,14.49291706
8.8578,13.07074547
7.4214,12.85662365
13.167,20.35533142
7.182,22.8341217
11.012,14.17939091
12.209,22.95946503
16.04,14.58459282
14.364,19.12578583
13.885,15.85922718
11.97,13.48050499
13.167,18.60115051
14.364,25.51568413
18.913,22.48845863
7.9002,15.44747925
16.519,15.65026951
26.334,27.65830612
8.6184,14.10131454
8.1396,14.35167217
11.012,15.11477757
10.055,15.03556728
6.2244,14.30776119
45.725,16.17939377
6.7032,18.68895721
16.997,22.88630676
8.8578,15.51220226
117.31,134.3503418
54.823,13.77612114
15.322,16.50266266
28.489,46.17345428
7.6608,13.79967403
13.646,16.52878189
20.349,16.34026718
8.1396,15.74523258
7.4214,15.74744987
11.252,14.33476353
21.785,36.76871109
7.4214,14.047719
7.6608,13.68739414
22.504,27.96976089
8.6184,15.04481983
21.785,15.09410954
20.588,24.46562004
20.828,27.78814697
7.182,15.77788544
8.379,15.64603233
12.449,13.49155617
8.379,13.23754311
17.955,18.03349304
11.252,16.80547333
9.8154,14.29255295
9.8154,16.30234146
8.6184,12.73625469
6.9426,16.25894547
33.516,57.88840866
9.0972,20.4978981
9.576,15.38095665
7.4214,13.71727276
15.082,24.83766937
10.534,13.56291199
7.9002,15.99354362
13.167,12.81581593
10.055,13.77171421
11.97,17.00411415
8.379,15.1759901
12.449,14.48077393
8.1396,18.25554085
6.7032,14.05352688
7.4214,16.77138138
6.9426,18.55644798
8.8578,13.81441689
9.3366,16.91208267
8.6184,14.85118961
6.2244,15.33779716
11.012,19.71089935
16.279,13.45722771
11.731,13.10209942
82.114,96.70894623
22.264,28.40090179
8.6184,19.29143906
9.8154,14.50571918
24.658,26.64288521
